student_id,minutes_watched,paid_in_q2
6,67.0833,1
616,116.0167,1
618,238.15,1
699,222.35,1
702,1.6,1
838,348.2833,1
841,324.75,1
862,166.7333,1
908,0.9167,1
911,39.35,1
917,5.6667,1
969,584.6,1
988,144.7833,1
999,384.2167,1
1016,20.15,1
1019,56.5,1
1046,1406.3833,1
1064,66.85,1
1085,82.9667,1
1102,271.3,1
1151,206.2333,1
1159,30.7833,1
1183,46.8167,1
1188,13.0167,1
1200,329.4,1
1201,7.6667,1
1210,4.4,1
1215,3.0333,1
1221,227.3,1
1235,35.9833,1
1246,528.5667,1
1271,3.05,1
1306,735.6833,1
1308,0.35,1
1317,21.2667,1
1355,18.0667,1
1362,13.5167,1
1382,0.3333,1
1404,29.7333,1
1419,63.5167,1
1426,17.7833,1
1434,23.6667,1
1436,0.2333,1
1468,88.6333,1
1521,776.9167,1
1522,125.8833,1
1537,19.8167,1
1538,1.7,1
1539,0.8833,1
1563,5.2667,1
1567,365.3667,1
1581,285.95,1
1605,25.0,1
1641,1.8667,1
1652,1032.8667,1
1661,5.1833,1
1669,52.3833,1
1678,92.9167,1
1742,264.8833,1
1753,55.7667,1
1754,516.1833,1
1778,397.3667,1
1780,0.65,1
1794,115.5167,1
1802,0.05,1
1852,218.2333,1
1863,38.1667,1
1864,301.2167,1
1880,719.0333,1
1909,238.35,1
1914,20.5,1
1923,0.55,1
1950,17.0167,1
1977,748.1167,1
2003,935.6667,1
2014,114.6667,1
2018,161.7,1
2019,0.5333,1
2055,20.1167,1
2060,22.5,1
2070,128.3833,1
2073,467.5333,1
2084,89.4,1
2091,397.0333,1
2110,4.3167,1
2112,876.1667,1
2114,78.1833,1
2195,29.3,1
2217,11.5667,1
2218,50.6333,1
2222,2.45,1
2236,9.1167,1
2248,382.25,1
2255,244.1667,1
2258,7.85,1
2274,3.7167,1
2284,2.2167,1
2292,43.6833,1
2295,40.0167,1
2324,8.5833,1
2359,0.15,1
2377,36.1,1
2385,10.5833,1
2398,368.5333,1
2409,57.35,1
2417,13.1333,1
2431,0.85,1
2495,125.35,1
2506,14.1833,1
2534,0.7,1
2546,384.0,1
2555,665.9333,1
2591,89.6833,1
2620,16.0667,1
2636,112.0,1
2663,15.2833,1
2702,0.45,1
2723,75.0833,1
2725,125.75,1
2731,468.6667,1
2734,202.7,1
2737,680.5667,1
2764,2.6667,1
2811,575.7167,1
2824,18.7167,1
2851,401.5667,1
2866,6.4833,1
2881,1.2,1
